name,runtime,size,n_processors,nodes
ludcmp-blas,1.600874,4096,2,1
ludcmp-blas,1.534861,4096,2,1
ludcmp-blas,1.509546,4096,2,1
ludcmp-blas,1.553654,4096,2,1
ludcmp-blas,1.520527,4096,2,1
ludcmp-blocking-openmp-fma-mpi,27.482284,4096,2,2
ludcmp-blocking-openmp-fma-mpi,28.561245,4096,2,2
ludcmp-blocking-openmp-fma-mpi,28.653429,4096,2,2
ludcmp-blocking-openmp-fma-mpi,28.631105,4096,2,2
ludcmp-blocking-openmp-fma-mpi,28.394224,4096,2,2
ludcmp-blocking-openmp-fma,5.921032,4096,2,1
ludcmp-blocking-openmp-fma,5.929098,4096,2,1
ludcmp-blocking-openmp-fma,5.877191,4096,2,1
ludcmp-blocking-openmp-fma,5.861012,4096,2,1
ludcmp-blocking-openmp-fma,5.863088,4096,2,1
ludcmp-blocking-openmp,15.028244,4096,2,1
ludcmp-blocking-openmp,15.987514,4096,2,1
ludcmp-blocking-openmp,16.068613,4096,2,1
ludcmp-blocking-openmp,16.074616,4096,2,1
ludcmp-blocking-openmp,16.090116,4096,2,1
ludcmp-blocking,30.95289,4096,2,1
ludcmp-blocking,30.975605,4096,2,1
ludcmp-blocking,30.980233,4096,2,1
ludcmp-blocking,31.456615,4096,2,1
ludcmp-blocking,30.999051,4096,2,1
ludcmp,151.799351,4096,2,1
ludcmp,150.172581,4096,2,1
ludcmp,151.52832,4096,2,1
ludcmp,149.729594,4096,2,1
ludcmp,155.582084,4096,2,1
ludcmp-blas,1.612382,4096,4,1
ludcmp-blas,1.604848,4096,4,1
ludcmp-blas,1.539296,4096,4,1
ludcmp-blas,1.592817,4096,4,1
ludcmp-blas,1.51897,4096,4,1
ludcmp-blocking-openmp-fma-mpi,23.291749,4096,4,2
ludcmp-blocking-openmp-fma-mpi,24.005021,4096,4,2
ludcmp-blocking-openmp-fma-mpi,23.827482,4096,4,2
ludcmp-blocking-openmp-fma-mpi,23.977295,4096,4,2
ludcmp-blocking-openmp-fma-mpi,24.564292,4096,4,2
ludcmp-blocking-openmp-fma,3.265516,4096,4,1
ludcmp-blocking-openmp-fma,3.304858,4096,4,1
ludcmp-blocking-openmp-fma,3.250283,4096,4,1
ludcmp-blocking-openmp-fma,3.247175,4096,4,1
ludcmp-blocking-openmp-fma,3.250562,4096,4,1
ludcmp-blocking-openmp,7.823724,4096,4,1
ludcmp-blocking-openmp,8.296241,4096,4,1
ludcmp-blocking-openmp,8.307726,4096,4,1
ludcmp-blocking-openmp,8.31107,4096,4,1
ludcmp-blocking-openmp,8.340477,4096,4,1
ludcmp-blocking,30.976819,4096,4,1
ludcmp-blocking,31.013023,4096,4,1
ludcmp-blocking,31.00477,4096,4,1
ludcmp-blocking,31.04209,4096,4,1
ludcmp-blocking,30.983853,4096,4,1
ludcmp,151.232883,4096,4,1
ludcmp,150.552969,4096,4,1
ludcmp,152.215921,4096,4,1
ludcmp,150.716874,4096,4,1
ludcmp,155.623099,4096,4,1
ludcmp-blas,2.522622,4096,8,1
ludcmp-blas,1.621035,4096,8,1
ludcmp-blas,1.625442,4096,8,1
ludcmp-blas,1.667326,4096,8,1
ludcmp-blas,1.657599,4096,8,1
ludcmp-blocking-openmp-fma-mpi,20.021582,4096,8,2
ludcmp-blocking-openmp-fma-mpi,21.879237,4096,8,2
ludcmp-blocking-openmp-fma-mpi,20.754082,4096,8,2
ludcmp-blocking-openmp-fma-mpi,21.493167,4096,8,2
ludcmp-blocking-openmp-fma-mpi,21.8237,4096,8,2
ludcmp-blocking-openmp-fma,2.426433,4096,8,1
ludcmp-blocking-openmp-fma,1.854516,4096,8,1
ludcmp-blocking-openmp-fma,1.916104,4096,8,1
ludcmp-blocking-openmp-fma,2.431815,4096,8,1
ludcmp-blocking-openmp-fma,1.852905,4096,8,1
ludcmp-blocking-openmp,4.731613,4096,8,1
ludcmp-blocking-openmp,4.657898,4096,8,1
ludcmp-blocking-openmp,4.523119,4096,8,1
ludcmp-blocking-openmp,7.055091,4096,8,1
ludcmp-blocking-openmp,31.148499,4096,8,1
ludcmp-blocking,31.173183,4096,8,1
ludcmp-blocking,31.159732,4096,8,1
ludcmp-blocking,31.158884,4096,8,1
ludcmp-blocking,31.15296,4096,8,1
ludcmp-blocking,151.386402,4096,8,1
ludcmp,150.770051,4096,8,1
ludcmp,150.617335,4096,8,1
ludcmp,173.38402,4096,8,1
ludcmp,173.410345,4096,8,1
ludcmp,168.811224,4096,8,1
ludcmp-blas,1.60352,4096,16,1
ludcmp-blas,1.610013,4096,16,1
ludcmp-blas,1.603022,4096,16,1
ludcmp-blas,1.594759,4096,16,1
ludcmp-blas,1.636279,4096,16,1
ludcmp-blocking-openmp-fma-mpi,32.494302,4096,16,2
ludcmp-blocking-openmp-fma-mpi,30.194936,4096,16,2
ludcmp-blocking-openmp-fma-mpi,27.835786,4096,16,2
ludcmp-blocking-openmp-fma-mpi,25.506177,4096,16,2
ludcmp-blocking-openmp-fma-mpi,25.49443,4096,16,2
ludcmp-blocking-openmp-fma,10.364858,4096,16,1
ludcmp-blocking-openmp-fma,6.609397,4096,16,1
ludcmp-blocking-openmp-fma,4.968487,4096,16,1
ludcmp-blocking-openmp-fma,1.423604,4096,16,1
ludcmp-blocking-openmp-fma,8.35052,4096,16,1
ludcmp-blocking-openmp,4.880232,4096,16,1
ludcmp-blocking-openmp,11.909354,4096,16,1
ludcmp-blocking-openmp,4.683001,4096,16,1
ludcmp-blocking-openmp,9.877975,4096,16,1
ludcmp-blocking-openmp,9.929112,4096,16,1
ludcmp-blocking,30.975269,4096,16,1
ludcmp-blocking,30.915216,4096,16,1
ludcmp-blocking,31.068246,4096,16,1
ludcmp-blocking,31.103588,4096,16,1
ludcmp-blocking,32.208224,4096,16,1
ludcmp,151.675615,4096,16,1
ludcmp,151.698044,4096,16,1
ludcmp,153.276718,4096,16,1
ludcmp,154.325138,4096,16,1
ludcmp,152.139628,4096,16,1
ludcmp-blas,1.559939,4096,32,1
ludcmp-blas,1.564498,4096,32,1
ludcmp-blas,1.541388,4096,32,1
ludcmp-blas,1.511982,4096,32,1
ludcmp-blas,1.512524,4096,32,1
ludcmp-blocking-openmp-fma-mpi,29.175698,4096,32,2
ludcmp-blocking-openmp-fma-mpi,31.231671,4096,32,2
ludcmp-blocking-openmp-fma-mpi,24.941182,4096,32,2
ludcmp-blocking-openmp-fma-mpi,30.92007,4096,32,2
ludcmp-blocking-openmp-fma-mpi,25.817911,4096,32,2
ludcmp-blocking-openmp-fma,10.119187,4096,32,1
ludcmp-blocking-openmp-fma,10.561747,4096,32,1
ludcmp-blocking-openmp-fma,10.73333,4096,32,1
ludcmp-blocking-openmp-fma,10.311844,4096,32,1
ludcmp-blocking-openmp-fma,10.143371,4096,32,1
ludcmp-blocking-openmp,11.295679,4096,32,1
ludcmp-blocking-openmp,11.796121,4096,32,1
ludcmp-blocking-openmp,11.766569,4096,32,1
ludcmp-blocking-openmp,11.197033,4096,32,1
ludcmp-blocking-openmp,13.068814,4096,32,1
ludcmp-blocking,28.714738,4096,32,1
ludcmp-blocking,28.690268,4096,32,1
ludcmp-blocking,28.738573,4096,32,1
ludcmp-blocking,28.716907,4096,32,1
ludcmp-blocking,28.72246,4096,32,1
ludcmp,140.418134,4096,32,1
ludcmp,140.511469,4096,32,1
ludcmp,140.121096,4096,32,1
ludcmp,140.11619,4096,32,1
ludcmp,149.383708,4096,32,1
ludcmp-blas,0.052737,1024,16,1
ludcmp-blas,0.039979,1024,16,1
ludcmp-blas,0.040426,1024,16,1
ludcmp-blas,0.04053,1024,16,1
ludcmp-blas,0.0397,1024,16,1
ludcmp-blas,0.269603,2048,16,1
ludcmp-blas,0.269303,2048,16,1
ludcmp-blas,0.268931,2048,16,1
ludcmp-blas,1.663486,4096,16,1
ludcmp-blas,1.627545,4096,16,1
ludcmp-blas,1.608921,4096,16,1
ludcmp-blas,1.602404,4096,16,1
ludcmp-blas,1.650717,4096,16,1
ludcmp-blocking-openmp-fma-mpi,2.673951,1024,16,2
ludcmp-blocking-openmp-fma-mpi,3.011487,1024,16,2
ludcmp-blocking-openmp-fma-mpi,3.320742,1024,16,2
ludcmp-blocking-openmp-fma-mpi,2.495556,1024,16,2
