name,runtime,size,n_processors,nodes
gemm-baseline,33.870955,4096,1,1
gemm-baseline,121.962572,4096,1,1
gemm-baseline,122.125091,4096,1,1
gemm-baseline,122.411977,4096,1,1
gemm-baseline,122.742900,4096,1,1
gemm-baseline,87.518382,4096,1,1
gemm-baseline,88.083973,4096,1,1
gemm-baseline,31.927816,4096,1,1
gemm-baseline,29.497490,4096,1,1
gemm-baseline,65.926799,4096,1,1
gemm-baseline,66.019441,4096,1,1
gemm-baseline,66.441253,4096,1,1
gemm-baseline,34.707469,4096,1,1
gemm-baseline,36.545325,4096,1,1
gemm-baseline,68.576365,4096,1,1
gemm-baseline,68.752296,4096,1,1
gemm-baseline,69.969687,4096,1,1
gemm-baseline,70.101540,4096,1,1
gemm-baseline,70.545660,4096,1,1
gemm-baseline,70.263210,4096,1,1
gemm-baseline,160.692345,4096,1,1
gemm-baseline,160.791483,4096,1,1
gemm-baseline,285.915793,4096,1,1
gemm-baseline,286.614355,4096,1,1
gemm-baseline,30.587879,4096,1,1
gemm-baseline,117.388455,4096,1,1
gemm-baseline,87.515072,4096,1,1
gemm-baseline,31.828610,4096,1,1
gemm-baseline,64.792962,4096,1,1
gemm-baseline,64.643689,4096,1,1
gemm-blas,3.796895,4096,1,1
gemm-blas,4.213703,4096,1,1
gemm-blas,4.406926,4096,1,1
gemm-blas,4.358491,4096,1,1
gemm-blas,3.979440,4096,1,1
gemm-blas,4.027695,4096,1,1
gemm-blas,3.636857,4096,1,1
gemm-blas,3.669493,4096,1,1
gemm-blas,3.597192,4096,1,1
gemm-blas,3.597137,4096,1,1
gemm-blas,3.602000,4096,1,1
gemm-blas,3.491772,4096,1,1
gemm-blas,3.712130,4096,1,1
gemm-blas,3.731206,4096,1,1
gemm-blas,4.054351,4096,1,1
gemm-blas,3.807922,4096,1,1
gemm-blas,3.795639,4096,1,1
gemm-blas,4.022561,4096,1,1
gemm-blas,3.818938,4096,1,1
gemm-blas,3.636360,4096,1,1
gemm-blas,4.385020,4096,1,1
gemm-blas,4.030957,4096,1,1
gemm-blas,5.408859,4096,1,1
gemm-blas,5.402162,4096,1,1
gemm-blas,5.116370,4096,1,1
gemm-blas,5.141523,4096,1,1
gemm-blas,3.960876,4096,1,1
gemm-blas,3.466380,4096,1,1
gemm-blas,3.802920,4096,1,1
gemm-blas,3.468869,4096,1,1
gemm-mpi,12.886267,4096,1,1
gemm-mpi,23.121644,4096,1,1
gemm-mpi,23.182237,4096,1,1
gemm-mpi,38.102303,4096,1,1
gemm-mpi,28.797336,4096,1,1
gemm-mpi,19.366502,4096,1,1
gemm-mpi,13.212062,4096,1,1
gemm-mpi,13.406608,4096,1,1
gemm-mpi,12.757164,4096,1,1
gemm-mpi,13.026928,4096,1,1
gemm-mpi,12.965718,4096,1,1
gemm-mpi,17.060300,4096,1,1
gemm-mpi,12.631073,4096,1,1
gemm-mpi,12.122717,4096,1,1
gemm-mpi,12.908967,4096,1,1
gemm-mpi,12.739628,4096,1,1
gemm-mpi,13.779705,4096,1,1
gemm-mpi,12.238274,4096,1,1
gemm-mpi,13.875130,4096,1,1
gemm-mpi,12.755181,4096,1,1
gemm-mpi,13.263781,4096,1,1
gemm-mpi,16.809326,4096,1,1
gemm-mpi,16.802467,4096,1,1
gemm-mpi,16.845069,4096,1,1
gemm-mpi,13.935687,4096,1,1
gemm-mpi,11.987795,4096,1,1
gemm-mpi,13.008441,4096,1,1
gemm-mpi,12.876802,4096,1,1
gemm-mpi,16.290320,4096,1,1
gemm-mpi,12.869637,4096,1,1
gemm-mpi-simple,64.431046,4096,1,1
gemm-mpi-simple,67.602735,4096,1,1
gemm-mpi-simple,134.283862,4096,1,1
gemm-mpi-simple,281.079661,4096,1,1
gemm-mpi-simple,84.697619,4096,1,1
gemm-mpi-simple,29.207453,4096,1,1
gemm-mpi-simple,49.303608,4096,1,1
gemm-mpi-simple,36.417403,4096,1,1
gemm-mpi-simple,32.611285,4096,1,1
gemm-mpi-simple,30.965900,4096,1,1
gemm-mpi-simple,32.752191,4096,1,1
gemm-mpi-simple,36.608169,4096,1,1
gemm-mpi-simple,82.536644,4096,1,1
gemm-mpi-simple,29.890803,4096,1,1
gemm-mpi-simple,36.234591,4096,1,1
gemm-mpi-simple,38.825695,4096,1,1
gemm-mpi-simple,119.898946,4096,1,1
gemm-mpi-simple,38.540864,4096,1,1
gemm-mpi-simple,38.565950,4096,1,1
gemm-mpi-simple,31.956213,4096,1,1
gemm-mpi-simple,35.260095,4096,1,1
gemm-mpi-simple,41.950515,4096,1,1
gemm-mpi-simple,42.104195,4096,1,1
gemm-mpi-simple,31.508122,4096,1,1
gemm-mpi-simple,32.259416,4096,1,1
gemm-mpi-simple,32.251097,4096,1,1
gemm-mpi-simple,31.096578,4096,1,1
gemm-mpi-simple,53.910189,4096,1,1
gemm-mpi-simple,30.196705,4096,1,1
gemm-mpi-simple,29.511630,4096,1,1
gemm-openmp,13.070513,4096,1,1
gemm-openmp,18.876793,4096,1,1
gemm-openmp,23.312812,4096,1,1
gemm-openmp,24.991587,4096,1,1
gemm-openmp,29.895389,4096,1,1
gemm-openmp,12.389485,4096,1,1
gemm-openmp,13.773452,4096,1,1
gemm-openmp,13.166592,4096,1,1
gemm-openmp,13.457558,4096,1,1
gemm-openmp,12.536728,4096,1,1
gemm-openmp,13.090006,4096,1,1
gemm-openmp,19.946519,4096,1,1
gemm-openmp,13.290450,4096,1,1
gemm-openmp,33.094358,4096,1,1
gemm-openmp,12.511751,4096,1,1
gemm-openmp,20.095022,4096,1,1
gemm-openmp,12.752160,4096,1,1
gemm-openmp,13.325153,4096,1,1
gemm-openmp,13.849620,4096,1,1
gemm-openmp,12.484419,4096,1,1
gemm-openmp,32.534007,4096,1,1
gemm-openmp,13.613085,4096,1,1
gemm-openmp,17.593866,4096,1,1
gemm-openmp,17.719183,4096,1,1
gemm-openmp,13.328373,4096,1,1
gemm-openmp,13.407838,4096,1,1
gemm-openmp,13.407563,4096,1,1
gemm-openmp,12.627154,4096,1,1
gemm-openmp,16.995961,4096,1,1
gemm-openmp,13.528529,4096,1,1
gemm-mpi,6.950003,4096,2,1
gemm-mpi,7.709089,4096,2,1
gemm-mpi,8.974292,4096,2,1
gemm-mpi,12.889836,4096,2,1
gemm-mpi,10.355491,4096,2,1
gemm-mpi,10.885794,4096,2,1
gemm-mpi,10.219339,4096,2,1
gemm-mpi,8.192761,4096,2,1
gemm-mpi,8.136488,4096,2,1
gemm-mpi,14.626967,4096,2,1
gemm-mpi,7.616916,4096,2,1
gemm-mpi,8.908762,4096,2,1
gemm-mpi,8.897570,4096,2,1
gemm-mpi,13.138346,4096,2,1
gemm-mpi,7.068492,4096,2,1
gemm-mpi,12.247187,4096,2,1
gemm-mpi,9.586740,4096,2,1
gemm-mpi,8.064185,4096,2,1
gemm-mpi,7.547953,4096,2,1
gemm-mpi,9.160141,4096,2,1
gemm-mpi,11.187781,4096,2,1
gemm-mpi,8.536994,4096,2,1
gemm-mpi,8.715424,4096,2,1
gemm-mpi,9.935820,4096,2,1
gemm-mpi,7.139397,4096,2,1
gemm-mpi,6.828400,4096,2,1
gemm-mpi,9.690204,4096,2,1
gemm-mpi,9.138174,4096,2,1
gemm-mpi,8.008092,4096,2,1
gemm-mpi,8.944349,4096,2,1
gemm-mpi-simple,39.702634,4096,2,1
gemm-mpi-simple,48.618337,4096,2,1
gemm-mpi-simple,59.646483,4096,2,1
gemm-mpi-simple,63.283421,4096,2,1
gemm-mpi-simple,48.679469,4096,2,1
gemm-mpi-simple,24.358671,4096,2,1
gemm-mpi-simple,60.263781,4096,2,1
gemm-mpi-simple,49.025172,4096,2,1
gemm-mpi-simple,33.055940,4096,2,1
gemm-mpi-simple,47.287475,4096,2,1
gemm-mpi-simple,21.483429,4096,2,1
gemm-mpi-simple,21.616496,4096,2,1
gemm-mpi-simple,29.027608,4096,2,1
gemm-mpi-simple,32.484484,4096,2,1
gemm-mpi-simple,47.974284,4096,2,1
gemm-mpi-simple,24.033546,4096,2,1
gemm-mpi-simple,23.490051,4096,2,1
gemm-mpi-simple,38.602977,4096,2,1
gemm-mpi-simple,22.825046,4096,2,1
gemm-mpi-simple,22.965584,4096,2,1
gemm-mpi-simple,41.901811,4096,2,1
gemm-mpi-simple,41.151721,4096,2,1
gemm-mpi-simple,19.811795,4096,2,1
gemm-mpi-simple,30.752981,4096,2,1
gemm-mpi-simple,19.367785,4096,2,1
gemm-mpi-simple,39.480533,4096,2,1
gemm-mpi-simple,38.184350,4096,2,1
gemm-mpi-simple,17.643591,4096,2,1
gemm-mpi-simple,32.406195,4096,2,1
gemm-mpi-simple,32.680179,4096,2,1
gemm-openmp,8.063230,4096,2,1
gemm-openmp,8.882840,4096,2,1
gemm-openmp,8.024825,4096,2,1
gemm-openmp,12.862511,4096,2,1
gemm-openmp,15.356461,4096,2,1
gemm-openmp,7.878976,4096,2,1
gemm-openmp,8.861807,4096,2,1
gemm-openmp,19.562895,4096,2,1
gemm-openmp,8.907896,4096,2,1
gemm-openmp,13.874258,4096,2,1
gemm-openmp,8.526816,4096,2,1
gemm-openmp,8.968569,4096,2,1
gemm-openmp,8.695341,4096,2,1
gemm-openmp,15.996902,4096,2,1
gemm-openmp,7.893283,4096,2,1
gemm-openmp,16.385941,4096,2,1
gemm-openmp,10.768231,4096,2,1
gemm-openmp,15.213345,4096,2,1
gemm-openmp,8.662022,4096,2,1
gemm-openmp,9.950195,4096,2,1
gemm-openmp,10.058612,4096,2,1
gemm-openmp,12.918548,4096,2,1
gemm-openmp,17.298442,4096,2,1
gemm-openmp,8.017552,4096,2,1
gemm-openmp,8.275433,4096,2,1
gemm-openmp,8.339346,4096,2,1
gemm-openmp,11.758203,4096,2,1
gemm-openmp,10.908835,4096,2,1
gemm-openmp,14.406602,4096,2,1
gemm-openmp,10.022943,4096,2,1
gemm-mpi,4.900240,4096,4,1
gemm-mpi,6.241583,4096,4,1
gemm-mpi,4.143436,4096,4,1
gemm-mpi,4.190856,4096,4,1
gemm-mpi,4.976254,4096,4,1
gemm-mpi,5.369695,4096,4,1
gemm-mpi,4.643888,4096,4,1
gemm-mpi,5.419718,4096,4,1
gemm-mpi,3.912464,4096,4,1
gemm-mpi,5.965763,4096,4,1
gemm-mpi,6.078816,4096,4,1
gemm-mpi,4.069463,4096,4,1
gemm-mpi,4.065525,4096,4,1
gemm-mpi,5.233654,4096,4,1
gemm-mpi,5.852948,4096,4,1
gemm-mpi,5.091231,4096,4,1
gemm-mpi,4.146329,4096,4,1
gemm-mpi,4.583216,4096,4,1
gemm-mpi,4.053900,4096,4,1
gemm-mpi,4.111729,4096,4,1
gemm-mpi,5.168862,4096,4,1
gemm-mpi,4.419273,4096,4,1
gemm-mpi,5.771428,4096,4,1
gemm-mpi,4.329217,4096,4,1
gemm-mpi,4.439024,4096,4,1
gemm-mpi,3.887717,4096,4,1
gemm-mpi,4.850424,4096,4,1
gemm-mpi,3.827202,4096,4,1
gemm-mpi,5.392725,4096,4,1
gemm-mpi,5.725792,4096,4,1
gemm-mpi-simple,18.915365,4096,4,1
gemm-mpi-simple,24.942921,4096,4,1
gemm-mpi-simple,25.041643,4096,4,1
gemm-mpi-simple,16.820310,4096,4,1
gemm-mpi-simple,17.693792,4096,4,1
gemm-mpi-simple,14.969374,4096,4,1
gemm-mpi-simple,19.608661,4096,4,1
gemm-mpi-simple,19.948729,4096,4,1
gemm-mpi-simple,12.057359,4096,4,1
gemm-mpi-simple,18.682416,4096,4,1
gemm-mpi-simple,16.337210,4096,4,1
gemm-mpi-simple,11.115733,4096,4,1
gemm-mpi-simple,18.548823,4096,4,1
gemm-mpi-simple,17.727791,4096,4,1
gemm-mpi-simple,18.358119,4096,4,1
gemm-mpi-simple,19.342540,4096,4,1
gemm-mpi-simple,18.058645,4096,4,1
gemm-mpi-simple,14.802198,4096,4,1
gemm-mpi-simple,11.577960,4096,4,1
gemm-mpi-simple,17.421643,4096,4,1
gemm-mpi-simple,15.682245,4096,4,1
gemm-mpi-simple,13.428316,4096,4,1
gemm-mpi-simple,14.456680,4096,4,1
gemm-mpi-simple,13.317750,4096,4,1
gemm-mpi-simple,17.518890,4096,4,1
gemm-mpi-simple,19.068893,4096,4,1
gemm-mpi-simple,19.171560,4096,4,1
gemm-mpi-simple,17.123258,4096,4,1
gemm-mpi-simple,15.883597,4096,4,1
gemm-mpi-simple,14.936789,4096,4,1
gemm-openmp,10.227688,4096,4,1
gemm-openmp,11.932229,4096,4,1
gemm-openmp,7.426847,4096,4,1
gemm-openmp,6.738033,4096,4,1
gemm-openmp,5.276775,4096,4,1
gemm-openmp,6.539460,4096,4,1
gemm-openmp,7.112818,4096,4,1
gemm-openmp,5.668499,4096,4,1
gemm-openmp,9.578264,4096,4,1
gemm-openmp,6.358017,4096,4,1
gemm-openmp,6.332560,4096,4,1
gemm-openmp,6.125994,4096,4,1
gemm-openmp,7.791650,4096,4,1
gemm-openmp,7.793696,4096,4,1
gemm-openmp,7.873687,4096,4,1
gemm-openmp,6.032009,4096,4,1
gemm-openmp,6.064772,4096,4,1
gemm-openmp,8.019075,4096,4,1
gemm-openmp,8.766372,4096,4,1
gemm-openmp,5.673569,4096,4,1
gemm-openmp,6.693610,4096,4,1
gemm-openmp,6.361564,4096,4,1
gemm-openmp,7.895005,4096,4,1
gemm-openmp,5.589394,4096,4,1
gemm-openmp,7.610083,4096,4,1
gemm-openmp,7.068435,4096,4,1
gemm-openmp,6.046905,4096,4,1
gemm-openmp,19.099506,4096,4,1
gemm-openmp,8.422332,4096,4,1
gemm-openmp,7.864869,4096,4,1
gemm-mpi,4.714289,4096,8,1
gemm-mpi,3.644158,4096,8,1
gemm-mpi,3.552585,4096,8,1
gemm-mpi,4.042474,4096,8,1
gemm-mpi,3.541528,4096,8,1
gemm-mpi,3.851059,4096,8,1
gemm-mpi,7.822565,4096,8,1
gemm-mpi,3.639148,4096,8,1
gemm-mpi,3.534580,4096,8,1
gemm-mpi,3.725639,4096,8,1
gemm-mpi,3.536750,4096,8,1
gemm-mpi,3.598328,4096,8,1
gemm-mpi,3.663614,4096,8,1
gemm-mpi,5.228536,4096,8,1
gemm-mpi,3.647901,4096,8,1
gemm-mpi,3.562763,4096,8,1
gemm-mpi,3.890755,4096,8,1
gemm-mpi,3.571378,4096,8,1
gemm-mpi,3.606506,4096,8,1
gemm-mpi,3.621003,4096,8,1
gemm-mpi,5.139052,4096,8,1
gemm-mpi,3.604388,4096,8,1
gemm-mpi,3.615460,4096,8,1
gemm-mpi,4.346626,4096,8,1
gemm-mpi,3.522117,4096,8,1
gemm-mpi,3.686923,4096,8,1
gemm-mpi,3.726589,4096,8,1
gemm-mpi,5.192552,4096,8,1
gemm-mpi,3.559859,4096,8,1
gemm-mpi,5.168048,4096,8,1
gemm-mpi-simple,6.716860,4096,8,1
