name,runtime,size,n_processors,nodes
gemm-baseline,0.456135,1024,1,1
gemm-baseline,0.456135,1024,2,1
gemm-baseline,0.456135,1024,4,1
gemm-baseline,0.456135,1024,8,1
gemm-baseline,0.456135,1024,16,1
gemm-baseline,0.456135,1024,32,1
gemm-baseline,0.483637,1024,1,1
gemm-baseline,0.483637,1024,2,1
gemm-baseline,0.483637,1024,4,1
gemm-baseline,0.483637,1024,8,1
gemm-baseline,0.483637,1024,16,1
gemm-baseline,0.483637,1024,32,1
gemm-baseline,0.524722,1024,1,1
gemm-baseline,0.524722,1024,2,1
gemm-baseline,0.524722,1024,4,1
gemm-baseline,0.524722,1024,8,1
gemm-baseline,0.524722,1024,16,1
gemm-baseline,0.524722,1024,32,1
gemm-baseline,1.397207,1024,1,1
gemm-baseline,1.397207,1024,2,1
gemm-baseline,1.397207,1024,4,1
gemm-baseline,1.397207,1024,8,1
gemm-baseline,1.397207,1024,16,1
gemm-baseline,1.397207,1024,32,1
gemm-baseline,1.403221,1024,1,1
gemm-baseline,1.403221,1024,2,1
gemm-baseline,1.403221,1024,4,1
gemm-baseline,1.403221,1024,8,1
gemm-baseline,1.403221,1024,16,1
gemm-baseline,1.403221,1024,32,1
gemm-baseline,0.475026,1024,1,1
gemm-baseline,0.475026,1024,2,1
gemm-baseline,0.475026,1024,4,1
gemm-baseline,0.475026,1024,8,1
gemm-baseline,0.475026,1024,16,1
gemm-baseline,0.475026,1024,32,1
gemm-baseline,0.505836,1024,1,1
gemm-baseline,0.505836,1024,2,1
gemm-baseline,0.505836,1024,4,1
gemm-baseline,0.505836,1024,8,1
gemm-baseline,0.505836,1024,16,1
gemm-baseline,0.505836,1024,32,1
gemm-baseline,0.509446,1024,1,1
gemm-baseline,0.509446,1024,2,1
gemm-baseline,0.509446,1024,4,1
gemm-baseline,0.509446,1024,8,1
gemm-baseline,0.509446,1024,16,1
gemm-baseline,0.509446,1024,32,1
gemm-baseline,0.508001,1024,1,1
gemm-baseline,0.508001,1024,2,1
gemm-baseline,0.508001,1024,4,1
gemm-baseline,0.508001,1024,8,1
gemm-baseline,0.508001,1024,16,1
gemm-baseline,0.508001,1024,32,1
gemm-baseline,0.508494,1024,1,1
gemm-baseline,0.508494,1024,2,1
gemm-baseline,0.508494,1024,4,1
gemm-baseline,0.508494,1024,8,1
gemm-baseline,0.508494,1024,16,1
gemm-baseline,0.508494,1024,32,1
gemm-mpi,0.794199,1024,1,1
gemm-mpi,0.822571,1024,1,1
gemm-mpi,0.778086,1024,1,1
gemm-mpi,0.781509,1024,1,1
gemm-mpi,0.756625,1024,1,1
gemm-mpi,0.625728,1024,1,1
gemm-mpi,0.632694,1024,1,1
gemm-mpi,0.622274,1024,1,1
gemm-mpi,0.710885,1024,1,1
gemm-mpi,0.665596,1024,1,1
gemm-mpi-simple,0.614472,1024,1,1
gemm-mpi-simple,0.486158,1024,1,1
gemm-mpi-simple,0.683008,1024,1,1
gemm-mpi-simple,0.677402,1024,1,1
gemm-mpi-simple,1.317045,1024,1,1
gemm-mpi-simple,0.448920,1024,1,1
gemm-mpi-simple,0.472928,1024,1,1
gemm-mpi-simple,0.461660,1024,1,1
gemm-mpi-simple,0.482043,1024,1,1
gemm-mpi-simple,0.484726,1024,1,1
gemm-openmp,0.774080,1024,1,1
gemm-openmp,0.621053,1024,1,1
gemm-openmp,0.777862,1024,1,1
gemm-openmp,0.616089,1024,1,1
gemm-openmp,0.718867,1024,1,1
gemm-openmp,0.590042,1024,1,1
gemm-openmp,0.589108,1024,1,1
gemm-openmp,0.607173,1024,1,1
gemm-openmp,0.687737,1024,1,1
gemm-openmp,0.808038,1024,1,1
gemm-mpi,0.402757,1024,2,1
gemm-mpi,0.375003,1024,2,1
gemm-mpi,0.500856,1024,2,1
gemm-mpi,0.383459,1024,2,1
gemm-mpi,0.485260,1024,2,1
gemm-mpi,0.485038,1024,2,1
gemm-mpi,0.383862,1024,2,1
gemm-mpi,0.507041,1024,2,1
gemm-mpi,0.385241,1024,2,1
gemm-mpi,0.426064,1024,2,1
gemm-mpi-simple,0.325448,1024,2,1
gemm-mpi-simple,0.223984,1024,2,1
gemm-mpi-simple,0.241835,1024,2,1
gemm-mpi-simple,0.246691,1024,2,1
gemm-mpi-simple,0.246785,1024,2,1
gemm-mpi-simple,0.250256,1024,2,1
gemm-mpi-simple,0.226153,1024,2,1
gemm-mpi-simple,0.228678,1024,2,1
gemm-mpi-simple,0.313039,1024,2,1
gemm-mpi-simple,0.330134,1024,2,1
gemm-openmp,0.301997,1024,2,1
gemm-openmp,0.287103,1024,2,1
gemm-openmp,0.318047,1024,2,1
gemm-openmp,0.299480,1024,2,1
gemm-openmp,0.386537,1024,2,1
gemm-openmp,0.316279,1024,2,1
gemm-openmp,0.288189,1024,2,1
gemm-openmp,0.387128,1024,2,1
gemm-openmp,0.351183,1024,2,1
gemm-openmp,0.326234,1024,2,1
gemm-mpi,0.317536,1024,4,1
gemm-mpi,0.277135,1024,4,1
gemm-mpi,0.384845,1024,4,1
gemm-mpi,0.363476,1024,4,1
gemm-mpi,0.269728,1024,4,1
gemm-mpi,0.380605,1024,4,1
gemm-mpi,0.288139,1024,4,1
gemm-mpi,0.306212,1024,4,1
gemm-mpi,0.366223,1024,4,1
gemm-mpi,0.321396,1024,4,1
gemm-mpi-simple,0.120280,1024,4,1
gemm-mpi-simple,0.147071,1024,4,1
gemm-mpi-simple,0.157489,1024,4,1
gemm-mpi-simple,0.119840,1024,4,1
gemm-mpi-simple,0.130613,1024,4,1
gemm-mpi-simple,0.164331,1024,4,1
gemm-mpi-simple,0.132418,1024,4,1
gemm-mpi-simple,0.184843,1024,4,1
gemm-mpi-simple,0.198172,1024,4,1
gemm-mpi-simple,0.157837,1024,4,1
gemm-openmp,0.160281,1024,4,1
gemm-openmp,0.162790,1024,4,1
gemm-openmp,0.182427,1024,4,1
gemm-openmp,0.217246,1024,4,1
gemm-openmp,0.194982,1024,4,1
gemm-openmp,0.186097,1024,4,1
gemm-openmp,0.154628,1024,4,1
gemm-openmp,0.195083,1024,4,1
gemm-openmp,0.183950,1024,4,1
gemm-openmp,0.201327,1024,4,1
gemm-mpi,0.190638,1024,8,1
gemm-mpi,0.245645,1024,8,1
gemm-mpi,0.228541,1024,8,1
gemm-mpi,0.289628,1024,8,1
gemm-mpi,0.142976,1024,8,1
gemm-mpi,0.291667,1024,8,1
gemm-mpi,0.158643,1024,8,1
gemm-mpi,0.280061,1024,8,1
gemm-mpi,0.238630,1024,8,1
gemm-mpi,0.196848,1024,8,1
gemm-mpi-simple,0.097351,1024,8,1
gemm-mpi-simple,0.129997,1024,8,1
gemm-mpi-simple,0.086705,1024,8,1
gemm-mpi-simple,0.135106,1024,8,1
gemm-mpi-simple,0.095883,1024,8,1
gemm-mpi-simple,0.123606,1024,8,1
gemm-mpi-simple,0.096256,1024,8,1
gemm-mpi-simple,0.220520,1024,8,1
gemm-mpi-simple,0.084644,1024,8,1
gemm-mpi-simple,0.121009,1024,8,1
gemm-openmp,0.196300,1024,8,1
gemm-openmp,0.136762,1024,8,1
gemm-openmp,0.144062,1024,8,1
gemm-openmp,0.177689,1024,8,1
gemm-openmp,0.112672,1024,8,1
gemm-openmp,0.161222,1024,8,1
gemm-openmp,0.149379,1024,8,1
gemm-openmp,0.119699,1024,8,1
gemm-openmp,0.201130,1024,8,1
gemm-openmp,0.142143,1024,8,1
gemm-mpi,0.300319,1024,16,1
gemm-mpi,0.437449,1024,16,1
gemm-mpi,0.348597,1024,16,1
gemm-mpi,0.361853,1024,16,1
gemm-mpi,0.336304,1024,16,1
