name,runtime,size,n_processors,nodes
gemm-baseline,146.415614,5000,1,1
gemm-baseline,48.632218,5000,1,1
gemm-baseline,54.560054,5000,1,1
gemm-baseline,60.139168,5000,1,1
gemm-baseline,158.518018,5000,1,1
gemm-baseline,53.467441,5000,1,1
gemm-baseline,61.270454,5000,1,1
gemm-baseline,52.801421,5000,1,1
gemm-baseline,49.812399,5000,1,1
gemm-baseline,52.820607,5000,1,1
gemm-mpi,13.186369,5000,1,1
gemm-mpi,15.237027,5000,1,1
gemm-mpi,13.011822,5000,1,1
gemm-mpi,15.930551,5000,1,1
gemm-mpi,11.338820,5000,1,1
gemm-mpi,15.270731,5000,1,1
gemm-mpi,11.012813,5000,1,1
gemm-mpi,15.051890,5000,1,1
gemm-mpi,16.433230,5000,1,1
gemm-mpi,13.943116,5000,1,1
gemm-mpi-simple,64.435210,5000,1,1
gemm-mpi-simple,65.454646,5000,1,1
gemm-mpi-simple,66.631190,5000,1,1
gemm-mpi-simple,69.852431,5000,1,1
gemm-mpi-simple,58.845984,5000,1,1
gemm-mpi-simple,59.272330,5000,1,1
gemm-mpi-simple,59.066845,5000,1,1
gemm-mpi-simple,72.451509,5000,1,1
gemm-mpi-simple,61.725245,5000,1,1
gemm-mpi-simple,58.443760,5000,1,1
gemm-openmp,28.759588,5000,1,1
gemm-openmp,11.288755,5000,1,1
gemm-openmp,10.865225,5000,1,1
gemm-openmp,11.269686,5000,1,1
gemm-openmp,10.273715,5000,1,1
gemm-openmp,10.193253,5000,1,1
gemm-openmp,9.358964,5000,1,1
gemm-openmp,9.687505,5000,1,1
gemm-openmp,11.818725,5000,1,1
gemm-openmp,10.704348,5000,1,1
gemm-baseline,117.246636,6300,2,1
gemm-baseline,112.720349,6300,2,1
gemm-baseline,136.741178,6300,2,1
gemm-baseline,254.340489,6300,2,1
gemm-baseline,328.821010,6300,2,1
gemm-baseline,146.857931,6300,2,1
gemm-baseline,150.507926,6300,2,1
gemm-baseline,103.684324,6300,2,1
gemm-baseline,114.724999,6300,2,1
gemm-baseline,141.997029,6300,2,1
gemm-mpi,17.949780,6300,2,1
gemm-mpi,24.634255,6300,2,1
gemm-mpi,22.843089,6300,2,1
gemm-mpi,22.619217,6300,2,1
gemm-mpi,24.286092,6300,2,1
gemm-mpi,27.868066,6300,2,1
gemm-mpi,27.609223,6300,2,1
gemm-mpi,20.321101,6300,2,1
gemm-mpi,20.402626,6300,2,1
gemm-mpi,23.044900,6300,2,1
gemm-mpi-simple,75.248671,6300,2,1
gemm-mpi-simple,87.404028,6300,2,1
gemm-mpi-simple,85.401467,6300,2,1
gemm-mpi-simple,98.656357,6300,2,1
gemm-mpi-simple,99.844678,6300,2,1
gemm-mpi-simple,90.726916,6300,2,1
gemm-mpi-simple,82.563401,6300,2,1
gemm-mpi-simple,81.188456,6300,2,1
gemm-mpi-simple,99.354833,6300,2,1
gemm-mpi-simple,97.292687,6300,2,1
gemm-openmp,10.240981,6300,2,1
gemm-openmp,13.183697,6300,2,1
gemm-openmp,9.216735,6300,2,1
gemm-openmp,14.585401,6300,2,1
gemm-openmp,14.857911,6300,2,1
gemm-openmp,14.518814,6300,2,1
gemm-openmp,13.691256,6300,2,1
gemm-openmp,9.408930,6300,2,1
gemm-openmp,9.384166,6300,2,1
gemm-openmp,11.114287,6300,2,1
gemm-baseline,208.613965,7938,4,1
gemm-baseline,188.697629,7938,4,1
gemm-baseline,548.513080,7938,4,1
gemm-baseline,550.956593,7938,4,1
gemm-baseline,591.801646,7938,4,1
gemm-baseline,592.846857,7938,4,1
gemm-baseline,231.725837,7938,4,1
gemm-baseline,227.685268,7938,4,1
gemm-baseline,385.241272,7938,4,1
gemm-baseline,425.514173,7938,4,1
gemm-mpi,13.649851,7938,4,1
gemm-mpi,22.442099,7938,4,1
gemm-mpi,34.602931,7938,4,1
