name,runtime,size,n_processors,nodes
ludcmp,1.503437,1024,1,1
ludcmp,1.218619,1024,1,1
ludcmp,1.233269,1024,1,1
ludcmp,1.214093,1024,1,1
ludcmp,1.212198,1024,1,1
ludcmp,1.225058,1024,1,1
ludcmp,1.210962,1024,1,1
ludcmp,1.209278,1024,1,1
ludcmp,1.203728,1024,1,1
ludcmp,1.212055,1024,1,1
ludcmp,14.239415,2048,1,1
ludcmp,14.200761,2048,1,1
ludcmp,14.285484,2048,1,1
ludcmp,14.197251,2048,1,1
ludcmp,14.19742,2048,1,1
ludcmp,14.303534,2048,1,1
ludcmp,14.228571,2048,1,1
ludcmp,14.275444,2048,1,1
ludcmp,14.381339,2048,1,1
ludcmp,14.272723,2048,1,1
ludcmp,157.166792,4096,1,1
ludcmp,156.520476,4096,1,1
ludcmp,156.065889,4096,1,1
ludcmp,156.003436,4096,1,1
ludcmp,156.271527,4096,1,1
ludcmp,156.389659,4096,1,1
ludcmp,155.748203,4096,1,1
ludcmp,156.059258,4096,1,1
ludcmp,155.872928,4096,1,1
ludcmp,156.662393,4096,1,1
ludcmp,1395.066118,8192,1,1
ludcmp,1440.557244,8192,1,1
ludcmp,1400.840361,8192,1,1
ludcmp,1406.071578,8192,1,1
ludcmp,1404.965316,8192,1,1
ludcmp,1388.20897,8192,1,1
ludcmp,1378.406722,8192,1,1
ludcmp,1423.713617,8192,1,1
ludcmp,1407.552046,8192,1,1
ludcmp,1398.152726,8192,1,1
ludcmp,11412.69864,16384,1,1
ludcmp,11518.137424,16384,1,1
ludcmp,11480.198349,16384,1,1
ludcmp,11474.939098,16384,1,1
ludcmp,11518.423165,16384,1,1
ludcmp,11524.679181,16384,1,1
ludcmp,11650.058702,16384,1,1
ludcmp,11547.986205,16384,1,1
ludcmp,11651.27039,16384,1,1
ludcmp,11548.040601,16384,1,1
ludcmp-blocking,0.515415,1024,1,1
ludcmp-blocking,0.516832,1024,1,1
ludcmp-blocking,0.5149,1024,1,1
ludcmp-blocking,0.514669,1024,1,1
ludcmp-blocking,0.518799,1024,1,1
ludcmp-blocking,0.516779,1024,1,1
ludcmp-blocking,0.517775,1024,1,1
ludcmp-blocking,0.512175,1024,1,1
ludcmp-blocking,0.512341,1024,1,1
ludcmp-blocking,0.512501,1024,1,1
ludcmp-blocking,4.549555,2048,1,1
ludcmp-blocking,4.553849,2048,1,1
ludcmp-blocking,4.547603,2048,1,1
ludcmp-blocking,4.54267,2048,1,1
ludcmp-blocking,4.584834,2048,1,1
ludcmp-blocking,4.567875,2048,1,1
ludcmp-blocking,4.542912,2048,1,1
ludcmp-blocking,4.550173,2048,1,1
ludcmp-blocking,4.544959,2048,1,1
ludcmp-blocking,4.551146,2048,1,1
ludcmp-blocking,35.884128,4096,1,1
ludcmp-blocking,35.931319,4096,1,1
ludcmp-blocking,35.918233,4096,1,1
ludcmp-blocking,35.786927,4096,1,1
ludcmp-blocking,35.927845,4096,1,1
ludcmp-blocking,35.927892,4096,1,1
ludcmp-blocking,35.963976,4096,1,1
ludcmp-blocking,36.029121,4096,1,1
ludcmp-blocking,35.992381,4096,1,1
ludcmp-blocking,35.978183,4096,1,1
ludcmp-blocking,280.602417,8192,1,1
ludcmp-blocking,280.808586,8192,1,1
ludcmp-blocking,280.706204,8192,1,1
ludcmp-blocking,280.26699,8192,1,1
ludcmp-blocking,280.23205,8192,1,1
ludcmp-blocking,280.2699,8192,1,1
ludcmp-blocking,280.180015,8192,1,1
ludcmp-blocking,280.612119,8192,1,1
ludcmp-blocking,280.375536,8192,1,1
ludcmp-blocking,280.264522,8192,1,1
ludcmp-blocking,2210.415694,16384,1,1
ludcmp-blocking,2212.560304,16384,1,1
ludcmp-blocking,2209.412968,16384,1,1
ludcmp-blocking,2212.368959,16384,1,1
ludcmp-blocking,2210.878265,16384,1,1
ludcmp-blocking,2213.307137,16384,1,1
ludcmp-blocking,2212.493622,16384,1,1
ludcmp-blocking,2219.922918,16384,1,1
ludcmp-blocking,2221.592986,16384,1,1
ludcmp-blocking,2210.101768,16384,1,1
