name,runtime,size,n_processors,nodes
ludcmp-blocking-openmp-fma,0.15218,1024,2,1
ludcmp-blocking-openmp-fma,0.161001,1024,2,1
ludcmp-blocking-openmp-fma,0.152178,1024,2,1
ludcmp-blocking-openmp-fma,0.148781,1024,2,1
ludcmp-blocking-openmp-fma,0.159759,1024,2,1
ludcmp-blocking-openmp-fma,0.154925,1024,2,1
ludcmp-blocking-openmp-fma,0.150085,1024,2,1
ludcmp-blocking-openmp-fma,0.14781,1024,2,1
ludcmp-blocking-openmp-fma,0.151251,1024,2,1
ludcmp-blocking-openmp-fma,0.141301,1024,2,1
ludcmp-blocking-openmp-fma,1.119407,2048,2,1
ludcmp-blocking-openmp-fma,1.055887,2048,2,1
ludcmp-blocking-openmp-fma,0.940411,2048,2,1
ludcmp-blocking-openmp-fma,0.951381,2048,2,1
ludcmp-blocking-openmp-fma,0.940925,2048,2,1
ludcmp-blocking-openmp-fma,0.95315,2048,2,1
ludcmp-blocking-openmp-fma,0.952257,2048,2,1
ludcmp-blocking-openmp-fma,0.998768,2048,2,1
ludcmp-blocking-openmp-fma,0.984935,2048,2,1
ludcmp-blocking-openmp-fma,0.97444,2048,2,1
ludcmp-blocking-openmp-fma,7.500265,4096,2,1
ludcmp-blocking-openmp-fma,7.214538,4096,2,1
ludcmp-blocking-openmp-fma,7.37808,4096,2,1
ludcmp-blocking-openmp-fma,7.381347,4096,2,1
ludcmp-blocking-openmp-fma,7.254711,4096,2,1
ludcmp-blocking-openmp-fma,7.362464,4096,2,1
ludcmp-blocking-openmp-fma,7.346283,4096,2,1
ludcmp-blocking-openmp-fma,7.542297,4096,2,1
ludcmp-blocking-openmp-fma,472.067199,4096,2,1
ludcmp-blocking-openmp-fma,473.989796,4096,2,1
ludcmp-blocking-openmp-fma,59.343976,8192,2,1
ludcmp-blocking-openmp-fma,59.815397,8192,2,1
ludcmp-blocking-openmp-fma,60.731347,8192,2,1
ludcmp-blocking-openmp-fma,60.935034,8192,2,1
ludcmp-blocking-openmp-fma,61.977755,8192,2,1
ludcmp-blocking-openmp-fma,59.92129,8192,2,1
ludcmp-blocking-openmp-fma,60.19259,8192,2,1
ludcmp-blocking-openmp-fma,60.386563,8192,2,1
ludcmp-blocking-openmp-fma,59.479182,8192,2,1
ludcmp-blocking-openmp-fma,59.746976,8192,2,1
ludcmp-blocking-openmp-fma,474.641285,16384,2,1
ludcmp-blocking-openmp-fma,16.924351,16384,2,1
ludcmp-blocking-openmp-fma,16.801409,16384,2,1
ludcmp-blocking-openmp-fma,16.877395,16384,2,1
ludcmp-blocking-openmp-fma,16.875289,16384,2,1
ludcmp-blocking-openmp-fma,17.343351,16384,2,1
ludcmp-blocking-openmp-fma,132.245991,16384,2,1
ludcmp-blocking-openmp-fma,133.849733,16384,2,1
ludcmp-blocking-openmp-fma,133.980119,16384,2,1
ludcmp-blocking-openmp-fma,131.275051,16384,2,1
ludcmp-blocking-openmp,0.348079,1024,2,1
ludcmp-blocking-openmp,0.441464,1024,2,1
ludcmp-blocking-openmp,0.340076,1024,2,1
ludcmp-blocking-openmp,0.352219,1024,2,1
ludcmp-blocking-openmp,0.352334,1024,2,1
ludcmp-blocking-openmp,0.307578,1024,2,1
ludcmp-blocking-openmp,0.290047,1024,2,1
ludcmp-blocking-openmp,0.288897,1024,2,1
ludcmp-blocking-openmp,0.390686,1024,2,1
ludcmp-blocking-openmp,0.289631,1024,2,1
ludcmp-blocking-openmp,2.415798,2048,2,1
ludcmp-blocking-openmp,2.233402,2048,2,1
ludcmp-blocking-openmp,2.132857,2048,2,1
ludcmp-blocking-openmp,2.215155,2048,2,1
ludcmp-blocking-openmp,2.132278,2048,2,1
ludcmp-blocking-openmp,2.141037,2048,2,1
ludcmp-blocking-openmp,2.150186,2048,2,1
ludcmp-blocking-openmp,2.101354,2048,2,1
ludcmp-blocking-openmp,2.096429,2048,2,1
ludcmp-blocking-openmp,2.099634,2048,2,1
ludcmp-blocking-openmp,16.641486,4096,2,1
ludcmp-blocking-openmp,16.611217,4096,2,1
ludcmp-blocking-openmp,16.617901,4096,2,1
ludcmp-blocking-openmp,16.534732,4096,2,1
ludcmp-blocking-openmp,16.536642,4096,2,1
ludcmp-blocking-openmp,16.711537,4096,2,1
ludcmp-blocking-openmp,16.501947,4096,2,1
ludcmp-blocking-openmp,16.69153,4096,2,1
ludcmp-blocking-openmp,16.81882,4096,2,1
ludcmp-blocking-openmp,1035.997767,4096,2,1
ludcmp-blocking-openmp,132.62858,8192,2,1
ludcmp-blocking-openmp,132.112241,8192,2,1
ludcmp-blocking-openmp,133.632942,8192,2,1
ludcmp-blocking-openmp,131.888021,8192,2,1
ludcmp-blocking-openmp,131.975599,8192,2,1
ludcmp-blocking-openmp,131.017409,8192,2,1
ludcmp-blocking-openmp,131.493908,8192,2,1
ludcmp-blocking-openmp,133.512283,8192,2,1
ludcmp-blocking-openmp,130.846798,8192,2,1
ludcmp-blocking-openmp,134.106745,8192,2,1
ludcmp-blocking-openmp,1044.678262,16384,2,1
ludcmp-blocking-openmp,1049.124274,16384,2,1
ludcmp-blocking-openmp,1042.582094,16384,2,1
ludcmp-blocking-openmp,1033.952126,16384,2,1
ludcmp-blocking-openmp,1027.246973,16384,2,1
ludcmp-blocking-openmp,1025.181068,16384,2,1
ludcmp-blocking-openmp,1027.265093,16384,2,1
ludcmp-blocking-openmp,1027.241489,16384,2,1
ludcmp-blocking-openmp,1026.833079,16384,2,1
ludcmp-blocking-openmp,1029.007812,16384,2,1
