name,runtime,size,n_processors,nodes
ludcmp-blas,0.060542,1024,4,1
ludcmp-blas,0.958763,1024,4,1
ludcmp-blas,0.043142,1024,4,1
ludcmp-blas,0.05298,1024,4,1
ludcmp-blas,0.043735,1024,4,1
ludcmp-blas,1.928065,1024,4,1
ludcmp-blas,2.320049,1024,4,1
ludcmp-blas,0.043443,1024,4,1
ludcmp-blas,0.980756,1024,4,1
ludcmp-blas,2.324348,1024,4,1
ludcmp-blas,3.336854,2048,4,1
ludcmp-blas,2.020918,2048,4,1
ludcmp-blas,1.039668,2048,4,1
ludcmp-blas,0.535821,2048,4,1
ludcmp-blas,0.912751,2048,4,1
ludcmp-blas,0.555405,2048,4,1
ludcmp-blas,0.347194,2048,4,1
ludcmp-blas,1.086075,2048,4,1
ludcmp-blas,4.226706,2048,4,1
ludcmp-blas,0.225871,2048,4,1
ludcmp-blas,1.577052,4096,4,1
ludcmp-blas,1.856604,4096,4,1
ludcmp-blas,3.35756,4096,4,1
ludcmp-blas,2.802921,4096,4,1
ludcmp-blas,1.661667,4096,4,1
ludcmp-blas,2.260908,4096,4,1
ludcmp-blas,12.162391,4096,4,1
ludcmp-blas,1.693183,4096,4,1
ludcmp-blas,1.456729,4096,4,1
ludcmp-blas,2.331004,4096,4,1
ludcmp-blas,19.572198,8192,4,1
ludcmp-blas,9.843477,8192,4,1
ludcmp-blas,9.929441,8192,4,1
ludcmp-blas,9.375779,8192,4,1
ludcmp-blas,11.439298,8192,4,1
ludcmp-blas,9.98069,8192,4,1
ludcmp-blas,8.881891,8192,4,1
ludcmp-blas,8.942964,8192,4,1
ludcmp-blas,9.557815,8192,4,1
ludcmp-blas,20.046913,8192,4,1
ludcmp-blas,91.446067,16384,4,1
ludcmp-blas,74.495518,16384,4,1
ludcmp-blas,66.994643,16384,4,1
ludcmp-blas,64.475132,16384,4,1
ludcmp-blas,68.475135,16384,4,1
ludcmp-blas,65.313797,16384,4,1
ludcmp-blas,94.583277,16384,4,1
ludcmp-blas,80.500509,16384,4,1
ludcmp-blas,68.641738,16384,4,1
ludcmp-blas,65.956739,16384,4,1
ludcmp-blocking-openmp-fma,0.322596,1024,4,1
ludcmp-blocking-openmp-fma,0.498241,1024,4,1
ludcmp-blocking-openmp-fma,3.129663,1024,4,1
ludcmp-blocking-openmp-fma,2.314527,1024,4,1
ludcmp-blocking-openmp-fma,6.40706,1024,4,1
ludcmp-blocking-openmp-fma,0.553463,1024,4,1
ludcmp-blocking-openmp-fma,2.232699,1024,4,1
ludcmp-blocking-openmp-fma,2.053812,1024,4,1
ludcmp-blocking-openmp-fma,2.331752,1024,4,1
ludcmp-blocking-openmp-fma,4.572069,1024,4,1
ludcmp-blocking-openmp-fma,0.466844,2048,4,1
ludcmp-blocking-openmp-fma,0.590408,2048,4,1
ludcmp-blocking-openmp-fma,0.469716,2048,4,1
ludcmp-blocking-openmp-fma,1.622339,2048,4,1
ludcmp-blocking-openmp-fma,5.555561,2048,4,1
ludcmp-blocking-openmp-fma,1.683131,2048,4,1
ludcmp-blocking-openmp-fma,1.700645,2048,4,1
ludcmp-blocking-openmp-fma,0.517062,2048,4,1
ludcmp-blocking-openmp-fma,1.216202,2048,4,1
ludcmp-blocking-openmp-fma,1.872734,2048,4,1
ludcmp-blocking-openmp-fma,3.828006,4096,4,1
ludcmp-blocking-openmp-fma,3.032062,4096,4,1
ludcmp-blocking-openmp-fma,7.024353,4096,4,1
ludcmp-blocking-openmp-fma,5.06357,4096,4,1
ludcmp-blocking-openmp-fma,3.063717,4096,4,1
ludcmp-blocking-openmp-fma,10.034725,4096,4,1
ludcmp-blocking-openmp-fma,5.094029,4096,4,1
ludcmp-blocking-openmp-fma,3.092415,4096,4,1
ludcmp-blocking-openmp-fma,3.252858,4096,4,1
ludcmp-blocking-openmp-fma,29.654891,4096,4,1
ludcmp-blocking-openmp-fma,24.947403,8192,4,1
ludcmp-blocking-openmp-fma,23.924443,8192,4,1
ludcmp-blocking-openmp-fma,26.186784,8192,4,1
ludcmp-blocking-openmp-fma,25.355838,8192,4,1
ludcmp-blocking-openmp-fma,24.018082,8192,4,1
ludcmp-blocking-openmp-fma,26.394357,8192,4,1
ludcmp-blocking-openmp-fma,23.832677,8192,4,1
ludcmp-blocking-openmp-fma,26.209677,8192,4,1
ludcmp-blocking-openmp-fma,26.79009,8192,4,1
ludcmp-blocking-openmp-fma,23.722524,8192,4,1
ludcmp-blocking-openmp-fma,205.653,16384,4,1
ludcmp-blocking-openmp-fma,189.208866,16384,4,1
ludcmp-blocking-openmp-fma,188.552449,16384,4,1
ludcmp-blocking-openmp-fma,187.846666,16384,4,1
ludcmp-blocking-openmp-fma,188.869854,16384,4,1
ludcmp-blocking-openmp-fma,194.403211,16384,4,1
ludcmp-blocking-openmp-fma,197.916588,16384,4,1
ludcmp-blocking-openmp-fma,213.154421,16384,4,1
ludcmp-blocking-openmp-fma,189.289598,16384,4,1
ludcmp-blocking-openmp-fma,189.775909,16384,4,1
ludcmp-blocking-openmp,0.246459,1024,4,1
ludcmp-blocking-openmp,0.247915,1024,4,1
ludcmp-blocking-openmp,0.247555,1024,4,1
ludcmp-blocking-openmp,0.249667,1024,4,1
ludcmp-blocking-openmp,0.246588,1024,4,1
ludcmp-blocking-openmp,0.246825,1024,4,1
ludcmp-blocking-openmp,0.241673,1024,4,1
ludcmp-blocking-openmp,0.246295,1024,4,1
ludcmp-blocking-openmp,2.608017,1024,4,1
ludcmp-blocking-openmp,2.559867,1024,4,1
ludcmp-blocking-openmp,2.879852,2048,4,1
ludcmp-blocking-openmp,1.71713,2048,4,1
ludcmp-blocking-openmp,2.329733,2048,4,1
ludcmp-blocking-openmp,1.533078,2048,4,1
ludcmp-blocking-openmp,2.475816,2048,4,1
ludcmp-blocking-openmp,3.081908,2048,4,1
ludcmp-blocking-openmp,1.689602,2048,4,1
ludcmp-blocking-openmp,13.64766,2048,4,1
ludcmp-blocking-openmp,3.180409,2048,4,1
ludcmp-blocking-openmp,3.490062,2048,4,1
ludcmp-blocking-openmp,11.997222,4096,4,1
ludcmp-blocking-openmp,11.65869,4096,4,1
ludcmp-blocking-openmp,11.706859,4096,4,1
ludcmp-blocking-openmp,11.73243,4096,4,1
ludcmp-blocking-openmp,11.690457,4096,4,1
ludcmp-blocking-openmp,11.709761,4096,4,1
ludcmp-blocking-openmp,15.026059,4096,4,1
ludcmp-blocking-openmp,12.647015,4096,4,1
ludcmp-blocking-openmp,11.714391,4096,4,1
ludcmp-blocking-openmp,13.721203,4096,4,1
ludcmp-blocking-openmp,91.727172,8192,4,1
ludcmp-blocking-openmp,91.949004,8192,4,1
ludcmp-blocking-openmp,91.8674,8192,4,1
ludcmp-blocking-openmp,91.74127,8192,4,1
ludcmp-blocking-openmp,102.514803,8192,4,1
ludcmp-blocking-openmp,109.771526,8192,4,1
ludcmp-blocking-openmp,91.927937,8192,4,1
ludcmp-blocking-openmp,97.321185,8192,4,1
ludcmp-blocking-openmp,92.422944,8192,4,1
ludcmp-blocking-openmp,91.563504,8192,4,1
ludcmp-blocking-openmp,731.947621,16384,4,1
ludcmp-blocking-openmp,727.782617,16384,4,1
ludcmp-blocking-openmp,725.812471,16384,4,1
ludcmp-blocking-openmp,752.774821,16384,4,1
ludcmp-blocking-openmp,721.096996,16384,4,1
ludcmp-blocking-openmp,750.069509,16384,4,1
ludcmp-blocking-openmp,748.405604,16384,4,1
ludcmp-blocking-openmp,721.741176,16384,4,1
ludcmp-blocking-openmp,721.130287,16384,4,1
ludcmp-blocking-openmp,721.411347,16384,4,1
