name,runtime,size,n_processors,nodes
ludcmp-blas,1.60352,4096,16,1
ludcmp-blas,1.610013,4096,16,1
ludcmp-blas,1.603022,4096,16,1
ludcmp-blas,1.594759,4096,16,1
ludcmp-blas,1.636279,4096,16,1
ludcmp-blocking-openmp-fma-mpi,32.494302,4096,16,2
ludcmp-blocking-openmp-fma-mpi,30.194936,4096,16,2
ludcmp-blocking-openmp-fma-mpi,27.835786,4096,16,2
ludcmp-blocking-openmp-fma-mpi,25.506177,4096,16,2
ludcmp-blocking-openmp-fma-mpi,25.49443,4096,16,2
ludcmp-blocking-openmp-fma,10.364858,4096,16,1
ludcmp-blocking-openmp-fma,6.609397,4096,16,1
ludcmp-blocking-openmp-fma,4.968487,4096,16,1
ludcmp-blocking-openmp-fma,1.423604,4096,16,1
ludcmp-blocking-openmp-fma,8.35052,4096,16,1
ludcmp-blocking-openmp,4.880232,4096,16,1
ludcmp-blocking-openmp,11.909354,4096,16,1
ludcmp-blocking-openmp,4.683001,4096,16,1
ludcmp-blocking-openmp,9.877975,4096,16,1
ludcmp-blocking-openmp,9.929112,4096,16,1
ludcmp-blocking,30.975269,4096,16,1
ludcmp-blocking,30.915216,4096,16,1
ludcmp-blocking,31.068246,4096,16,1
ludcmp-blocking,31.103588,4096,16,1
ludcmp-blocking,32.208224,4096,16,1
ludcmp,151.675615,4096,16,1
ludcmp,151.698044,4096,16,1
ludcmp,153.276718,4096,16,1
ludcmp,154.325138,4096,16,1
ludcmp,152.139628,4096,16,1
